bahubali	बाहुबली
vyapar	व्यापार
badhao	बढ़ाओ
apnao	अपनाओ
vidhan	विधान
sabha	सभा
leta	लेटा
ragistred	रेजिस्ट्रेड
dubara	दुबारा
ragistration	रजिस्ट्रेशन
naya	नया
aayega	आयेगा
kaat	काट
shyad	श्याद
ubhre	उभरे
nazar	नजर
chaal	चाल
yojna	योजना
file	फाइल
gang	गैंग
gaaliyon	गालियों
dhyaan	ध्यान
rakhna	रखना
saari	सारी
gaaliyaan	गालियाँ
honi	होनी
chaahiye	चाहिये
jawaabdaar	जवाबदार
sukr	सुक्र
varna	वर्ण
jatiyan	जातियां
bhartiy	भारतीय
ghosit	घोसित
huva	हुवा
gala	गाला
kafi	काफी
mehanat	मेहनत
trauma	ट्रॉमा
goonge	गूंगे
single	सिंगल
chalti	चलती
khabar	खबर
mano	मानो
issur	इसुर
atak	अटक
ache	अचे
jhoothe	झूठे
prcharak	प्रचारक
achi	अची
baitor	बाइटोर
sote	सोते
sapne	सपने
satata	सताता
eske	एसके
sharam	शरम
bhako	भाको
far	फार
dhandha	धंधा
dhyan	ध्यान
rakh	रख
barabar	बराबर
ghinone	घिनोने
mooh	मूह
achhe	अछे
aiyyar	अय्यर
deshdroh	देशद्रोह
china	चाइना
maaibap	माईबाप
manta	मानता
kautilya	कौटिल्य
baarein	बारें
chutiyaape	छूटियापे
jaad	जाद
bhoole	भूले
abe	आबे
ghere	घेरे
paida	पैदा
gabbar	गब्बर
paresan	परेसन
lout	लौट
phool	फूल
baith	बैठ
jaa	जा
policies	पोलिकिएस
thaa-aap	था-आप
karwalo	करवालों
hissa	हिस्सा
jamkar	जामकर
adarsh	आदर्श
kia	किया
zaroorat	ज़रूरत
faayeda	फायेदा
himachal	हिमाचल
sarkari	सरकारी
suvidhaon	सुविधाओं
laya	लाया
jaaye	जाये
suvdhayen	सुवधाएं
registration	रजिस्ट्रेशन
saaf	साफ
kharede	खरेदे
jasaje	जसजे
nateejatan	नटीजतां
bakaam	बकाम
bataye	बताये
asmaji	आसमाजी
bitha	बिठा
khana	खाना
khila	खिला
visheshagyo	विशेषज्ञो
salaah	सलाह
dhanyabad	धनयबाद
viswas	विश्वास
banaye	बनाये
aarahe	आरहे
mahapurush	महापुरुष
dikhaye	दिखाये
bache	बचे
jayege	जायेगे
mili	मिली
bhagat	भगत
humse	हमसे
bahaane	बहाने
rajasv	राजस्व
badhaana	बढ़ाना
chaahte	चाहते
tarikh	तारीख
milli	मिल्ली
gaan	गान
gaane	गाने
rehne	रहने
bhalayee	भलाई
2baar	2बार
bhugat	भुगत
ailaan	ऐलान
vaise	वैसे
seedha	सीधा
reham	रहम
ahmedabad	अहमदाबाद
reshuffle	रीशफल
biryani	बिरयानी
mehengi	महंगी
nil	नील
modiye	मोदिये
sasta	सस्ता
rajya	राज्य
paving	पेविंग
raj	राज
khub	खूब
maze	मजे
kat	कैट
sasti	सस्ती
wheelar	व्हीलर
jhanda	झंडा
gada	गाड़ा
apka	अपका
paya	पाया
hmare	ह्मारे
lgane	लगाने
vyavastha	व्यवस्था
durust	दुरुस्त
nikalsakte	निकलसकते
manmani	मनमानी
jaarahe	जारहे
mangte	मांगते
chutiya	चुटिया
hijab	हिजाब
karoge	करोगे
huwa	हुवा
chiz	चीज
jald	जल्द
bhatkaya	भटकाया
kisika	किसिका
cheeno	चीनो
patrol	पट्रोल
lao	लाओ
humari	हमारी
zeb	जेब
garibonka	गरिबोंका
mantriji	मंत्रीजी
diesel	डीजल
vasooli	वसूली
jaitley	जेटली
hata	हटा
batayegi	बतायेगी
gyan	ज्ञान
badha	बढ़ा
hike	हाइक
bacha	बचा
kripya	कृपया
khatrnak	खतरनाक
dukandaro	दुकंदरों
aapaka	आपका
bhaisaahab	भाईसाहब
usse	उससे
bhech	भेच
khayi	खायी
hataiye	हटाइये
mayne	मायने
develop	डेवलप
dhanyavad	धन्यवाद
aab	आब
behatar	बेहतर
notebandhi	नोटबंधी
mehenga	महंगा
gayaa	गया
slab	स्लैब
chodh	चोध
maaf	माफ
maare	मारे
poore	पूरे
paayi	पायी
sekadon	सेकड़ों
vyapari	व्यापारी
congressi	कोंगरेससी
vyavshtha	व्यवश्था
kamaai	कमाई
avsar	अवसर
chuuk	चूक
jaayengey	जाएंगे
galiyaan	गलियाँ
tiwari	तिवारी
muhse	मुहसे
berojgari	बेरोजगारी
rahen	राहें
srajan	सरजन
chhodkar	छोडकर
chakkar	चक्कर
kitno	कितनो
berojgar	बेरोजगार
karneke	करनेके
maafi	माफी
maangi	मांगी
gun	गुण
loot	लूट
jetali	जेतली
achchha	अच्छा
badhte	बढ़ते
la	ला
bhaiya	भैया
bilaspur	बिलासपुर
shehar	शहर
dhayan	धायन
drainage	ड्रेनेज
ghatiya	घटिया
tere	तेरे
padhke	पढ़के
bhasa	भासा
sikhata	सिखता
baniya	बनिया
kursi	कुर्सी
urja	उर्जा
niraasha	निराशा
ayenge	आयेंगे
charges	चार्जेस
zara	ज़रा
kaamo	कामो
unnati	उन्नति
bolta	बोलता
isilye	इसिलये
koya	कोया
paa	पा
panama	पनामा
paradise	पैराडाइज
amitabh	अमिताभ
raste	रास्ते
rehkar	रहकर
mazboot	मजबूत
safal	सफल
koshish	कोशिश
asafal	असफल
aase	आसे
jeetenge	जीतेंगे
ek-do	एक-डो
kharido	खरीदो
bewkuf	बेवकूफ
samajhte	समझते
prayogshala	प्रयोगशाला
rakhe	रखे
huaa	हुआ
role	रोल
aaplogo	आपलोगो
bekaar	बेकार
ambani	अंबानी
atha	अथा
kishi	किशी
batay	बताय
mahgai	महगाई
thamne	थामने
rajneta	राजनेता
rokna	रोकना
mumbai	मुंबई
bhencho*	भेंचो*
unthinkable	उनथिंकबले
rahegi	रहेगी
fekte	फेकते
raaste	रास्ते
aankhon	आँखों
dhaara	धारा
nikli	निकली
chai	चाय
nam	नाम
rakhenge	रखेंगे
masoom	मासूम
zahan	जहान
ina'am	इना'एम
marodne	मरोड़ने
bewakufi	बेवकूफी
matalb	मतलब
juthi	जुठी
khane	खाने
bhaav	भाव
kapil	कपिल
pagal	पागल
pakda	पकड़ा
actor	ऐक्टर
sadharan	साधारण
manushya	मनुष्य
barish	बारिश
bharne	भरने
aakhri	आखिरी
tareekh	तारीख
aake	आके
lagane	लगाने
khujli	खुजली
keeda	कीदा
daal	डाल
mango	मैंगो
madir	मदिर
aah	आह
jitna	जितना
chahe	चाहे
tooh	तूह
mahgain	महगाइन
sochiye	सोचिये
khap	खाप
jinda	जिंदा
lagayegi	लगायेगी
wajha	वाझा
japan	जापान
ludhiana	लुधियाना
vasoolna	वसूलना
meditation	मेडिटेशन
padega	पड़ेगा
chhota	छोटा
bhatka	भटका
neta	नेता
ni	नी
ekdam	एकदम
samne	सामने
rote	रोते
marr	मार
kisko	किसको
dala	डाला
base	बेस
bechta	बेचता
unki	उनकी
choti	छोटी
si	सी
rupee	रूपी
latak	लटक
usko	उसको
utilise	यूटिलाइज़
bataiyenge	बताइयेंगे
kangi	कांगी
doremon	डोरेमोन
nautanki	नौटंकी
tha	था
jayenga	जाएंगा
badlo	बदलो
waje	वाजे
uspar	उसपर
lelo	लेलो
police	पुलिस
afsar	अफसर
rishwat	रिश्वत
mange	मांगे
industry	इंडस्ट्री
kise	किसे
rokh	रोख
yah	यह
samjhaye	समझाये
matlab	मतलब
tatti	तट्टी
dwara	द्वारा
kid's	किड'स
padhai	पढ़ाई
gaddhe	गड्ढे
pa	प
socha	सोचा
sochalay	सोचालय
mehngai	महंगाई
manmohan	मनमोहन
boye	बोये
fasal	फसल
krrhe	क्रे
haikaat	हाइकात
doge	दोगे
shi	शी
nahayenge	नहायेंगे
aamdani	आमदनी
haadsa	हादसा
farak	फरक
lootna	लूटना
cheezein	चीजेन
ane	अने
wakai	वाकई
saste	सस्ते
aamjanta	आमजनता
maangle	मांगले
sujhaav	सुझाव
tau	ताऊ
khai	खाई
kharabi	खराबी
lagaya	लगाया
buzurg	बुजुर्ग
dubo	डूबो
aana	आना
mushkil	मुश्किल
thik	थिक
kii	की
thappad	थप्पड़
darr	दर्र
aadhe	आधे
ratne	रत्ने
lagne	लगने
andha	अंधा
teri	तेरी
waat	वात
lagadi	लगड़ी
tarkki	तर्ककी
krte	कृते
ghatya	घटया
fesle	फेसले
pareshaniyon	परेशानियों
ajkal	अजकल
hisse	हिस्से
khata	खाता
peeta	पीता
ata	अता
drama	ड्रामा
lane	लाने
vese	वेसे
bharvane	भरवाने
sabki	सबकी
katne	काटने
samjh	समझ
khajane	खजाने
meharbani	मेहरबानी
pat	पैट
fatake	फटके
die	डाइ
smajh	स्मजह
lgake	लगाके
aarthik	आर्थिक
halat	हालत
sector	सेक्टर
majabuti	मजबूती
pradhan	प्रदान
krega	करेगा
giyaan	गियाँ
hie	हाइ
naahi	नाही
ganith	गणित
aakshron	आक्षरों
giyan	गियां
aapkotho	आपकोठों
baten	बातें
aachi	आची
lagthi	लगती
irshad	इरशाद
sadi	सादी
bdi	बड़ी
disaster	डिज़ास्टर
aayi	आयी
hamla	हमला
majbur	मजबूर
tajmahal	ताजमहल
muddo	मुद्दो
chipa	चिपा
baja	बजा
bajayegi	बजायेगी
baithee	बैठी
item	आइटम
raashan	राशन
sar	सर
chadti	चड़ती
harne	हारने
modernising	मॉडर्नाइज़िंग
padti	पड़ती
accho	अच्चो
akal	अकाल
samajhne	समझने
roz	रोज
bottle	बॉटल
sugam	सुगम
suvidha	सुविधा
pehchan'	पहचान'
agarbatti	अगरबत्ती
pooja	पूजा
sadhana	साधना
taqleef	तकलीफ
waali	वाली
jara	जरा
aankhe	आँखे
khul	खुल
phle	फले
gabbarsingh	गब्बरसिंह
hasi	हसी
laagoo	लागू
lagbhag	लगभग
kahte	कहते
vinas	विनास
kale	काले
wiprit	विप्रित
diologue	डिओलोगुए
bechare	बेचारे
chutia	चुटिया
jumle	जुमले
julus	जुलूस
niklega	निकलेगा
hawai	हवाई
batein	बातें
dubegi	दुबेगी
zimadar	ज़िमादार
khulla	खुल्ला
chahal	चहल
pahal	पहल
vat	वात
atal	अटल
jodenge	जोड़ेंगे
tarike	तरीके
lagoo	लागू
karneko	करनेको
asal	असल
maqsad	मकसद
bhatkana	भटकना
gotalo	गोतलो
rakhi	राखी
khus	खुस
isss	आईएसएस
khardine	खरदीने
paddh	पद्ध
chalta	चलता
deshwasiyo	देशवासियो
hardik	हार्दिक
jam	जाम
dikhaneki	दिखनेकी
jordaar	जोरदार
bussiness	बुसीनेस
maan	मान
preshani	प्रेशानी
rakhte	रखते
kinara	किनारा
karz	कर्ज़
lootne	लूटने
khola	खोला
kisaano	किसानो
min	मिन
banswara	बंसवारा
indeed	इंडीड
chamcho	चमचो
kahein	कहें
sabsey	सबसे
hotey	होते
vajah	वजह
pyar	प्यार
holsale	होलसले
doosre	दूसरे
noida	नोएडा
faltu	फालतू
hashtags	हैशटैग
mehenge	महंगे
agaye	अगाये
baaton	बातों
aadha	आधा
koe	कोए
aadh	आध
suna	सुना
ramudev	रामुदेव
neutrality	न्यूट्रालिटी
taza	ताजा
misaal	मिसाल
aapk	आपक
tarif	तारीफ
gadi	गाड़ी
bangla	बंगला
chhote	छोटे
dukandar	दुकानदार
unpar	उनपर
shivalay	शिवालय
general	जनरल
peso	पेसो
boriya	बोरिया
unhke	उन्हके
khuch	खुच
bechne	बेचने
pila	पीला
shamil	शामिल
generations	जेनरेशन
keh	कह
chole	चोले
chilli	चिल्ली
potato	पोटेटो
daaru	दारू
farsan	फरसान
kiski	किसकी
patri	पात्री
jayengi	जाएंगी
rahega	रहेगा
business	बिजनेस
lakho	लाखो
kahiyye	कहिया
dikhaiyye	दिखाइये
manana	मनाना
aavaashyak	आवाश्यक
banana	बनाना
gareeb	गरीब
samza	समजा
rupiya	रुपिया
rahat	राहत
saral	सरल
hasmukh	हसमुख
rulate	रूलते
daya	दया
baap	बाप
bullet	बुलेट
zaruri	ज़रूरी
marrati	माराती
achchaa	अच्छा
namaskar	नमस्कार
hate	हेट
khokla	खोकला
margin	मार्जिन
badhadi	बढ़ादी
sale	सेल
giri	गिरी
baari	बारी
bharta	भारता
bharna	भरना
padta	पड़ता
laaye	लाये
bharo	भरो
agle	अगले
bande	बन्दे
bhari	भरी
katega	कटेगा
barsun	बरसुन
leekho	लीखो
launched	लौंछेद
saala	साला
ati	अति
samajhna	समझना
zada	ज़ादा
bachoge	बचोगे
saajish	साजिश
bachha	बछा
draa	डीआरए
betha	बेथा
hawaa	हवा
dali	डाली
mehangha	मेहंगहा
vyaapaar	व्यापार
arun	अरुण
sambhavana	संभावना
samjana	समजाना
samjavo	समजावों
devanagari	देवनागरी
btana	बताना
samjha	समझा
des	देस
sandas	संदास
krni	करनी
pdti	पड़ती
jaankari	जानकारी
jyadatar	ज्यादातर
dijie	दीजिए
dheere	धीरे
jagha	जघा
laati	लाती
bachchan	बच्चन
ambassador	एम्बेसडर
sach	सच
aadhi	आधी
vale	वाले
likhne	लिखने
phele	फेले
utna	उतना
mehnga	महंगा
goshna	गोशना
roj	रोज
badlam	बदलाम
mokuf	मोकुफ
vypari	वायपारी
chillayege	चिल्लायेगे
rakhne	रखने
pahale	पहले
seena	सीना
pit	पिट
badalaw	बदलाव
khaak	खाक
badega	बडेगा
mauke	मौके
kafan	कफन
kharidne	खरीदने
nabj	नब्ज
tatol	टटोल
ilaaz	इलाज़
valve	वाल्व
kholne	खोलने
sachi	साची
bhakti	भक्ति
loota	लूटा
zyada-se-zyada	ज्यादा-से-ज्यादा
anpadh	अनपढ़
lalu	लालू
prasad	प्रसाद
bataiye	बताइये
samadhan	समाधान
ghata	घाटा
launch	लॉन्च
chage	चागे
lagata	लगाता
bulayee	बुलायी
aajkal	आजकाल
kaunsa	कौंसा
ghataya	घटाया
ispar	इसपर
intezaar	इंतजार
chahane	चाहने
kyon	क्यों
unpe	उनपे
bore	बोर
pawan	पवन
kheda	खेड़ा
sarvamanya	सर्वमन्य
rasatal	रसतल
puchh	पूछ
subah	सुबह
rahan	रहन
lega	लेगा
aari	आरी
rakhni	रखनी
yaane	याने
paagal	पागल
guzare	गुजरे
aukaat	औकात
maidaan	मैदान
durdarshita	दूरदर्शिता
baji	बाजी
dum	दम
faye	फाये
jawani	जवानी
dikhayenge	दिखायेंगे
gazab	गजब
badhe	बढ़े
badhae	बढ़ाए
lalach	लालच
chije	चीजे
aayegi	आयेगी
bhadkana	भड़कना
jetli	जेटली
ahya	अह्या
jaysa	जैसा
sifarsh	सिफर्श
syllabus	सिलेबस
padna	पड़ना
era	एरा
living	लिविंग
gaanja	गांजा
peene	पीने
naubat	नौबत
samba	सांबा
khao	खाओ
khilaoo	खिलाऊ
khaane	खाने
tahnkfully	टहंकफूलली
apnhi	अपन्ही
rajniti	राजनीति
chamkao	चमकाओ
vasta	वास्ता
smjhkr	समझकर
nasamajh	नासमझ
surat	सूरत
jayada	जायदा
dukhi	दुखी
sochne	सोचने
target	टारगेट
chemist	केमिस्ट
puchho	पूछो
dawa	दावा
sanitary	सैनिटरी
dushmani	दुश्मनी
chaie	चाइए
disel	डिसेल
eksaal	एकसाल
bataya	बताया
upgrade	अपग्रेड
via	वाया
kyuki	क्यूकी
mangenge	मांगेंगे
jimmewar	जिम्मेवार
bazari	बाजारी
vendor	वेंडर
non	नॉन
ashok	अशोक
gehlot	गहलोत
naare	नारे
jankari	जनकारी
robust	रोबस्ट
karod	करोड़
abhiyan	अभियान
fayada	फायदा
muze	मुजे
kachra	कचरा
fenkne	फेंकने
adhyaye	अध्याय
bhikari	भिकारी
jannat	जन्नत
rishab	रिशब
deke	देके
wasul	वसुल
sri	श्री
leye	लेए
takla	टकला
mehanga	महंगा
mantri	मंत्री
bhali	भली
bhanti	भन्ती
jinhe	जिन्हे
2%doosro	2%दूसरो
bhaiyon	भाइयों
karunga	करुंगा
jaunga	जौंगा
hisaab	हिसाब
saushalay	सौषलय
kama	कामा
badhiya	बढिया
leli	लेली
dimag	दिमाग
available	अवेलेबल
mazedaar	मजेदार
mene	मेने
unhone	उन्होने
nehi	नेही
thode	थोड़े
chandi	चांदी
chammach	चम्मच
milti	मिलती
dhoondho	ढूँढो
pocket	पॉकेट
aas	आस
wagerah	वागेराह
inhone	इन्होने
mehnge	महंगे
dekhna	देखना
karib	करीब
ghante	घंटे
aye	आये
nirasha	निराशा
mahol	महोल
sune	सुने
charge	चार्ज
halla	हल्ला
macha	मचा
edit	एडिट
sabne	सबने
dal	दाल
pakti	पकती
tujhse	तुझसे
distribute	डिस्ट्रिब्यूट
jarurat	जरुरत
padne	पड़ने
jutane	जुटाने
distant	डिस्टेंट
jaun	जॉन
dunga	दूँगा
local	लोकल
shrahan	श्रहण
rakiye	रकिये
samdari	समदरी
chaheya	चाहेय
kambakhat	कम्बाखट
kehta	कहता
sambhala	संभाला
tabse	तबसे
dharna	धारणा
hao	हाओ
samajhme	समझमे
engineer	इंजीनियर
chhate	छटे
acchi	अच्छी
gaono	गाओनो
roti-sabhi	रोटी-सभी
kahon	कहों
aabaadi	आबादी
sapna	सपना
pel	पेल
calendar	कैलेंडर
khaate	खाते
samjhaaye	समझाये
jaisay	जैसे
unkay	उंकाय
ruppai	रुप्पै
padnewala	पड़नेवाला
magar	मगर
gareebo	गरीबो
middle	मिडल
ameer	अमीर
idli	इडली
ghee	घी
daru	दारू
pine	पीने
baate	बाते
pdega	पड़ेगा
protsahit	प्रोत्साहित
ajj	अज्ज
bolke	बोलके
chlana	चलना
aisi	ऐसी
paye	पाये
bacche	बच्चे
dinon	दिनों
isme	इसमे
loktantra	लोकतंत्र
bhook	भूक
chhoro	छोरो
purane	पुराने
parha	परहा
parh	परह
ksi	कसी
sukhi	सुखी
jyegi	ज्येगी
revolution	रिवोल्यूशन
indian	इंडियन
likh	लिख
marre	मारे
cigratte	किगरतते
rone	रोने
dikhne	दिखने
kamaate	कमाते
hamein	हमें
hamari	हमारी
guarantee	गारंटी
chota	छोटा
bda	बड़ा
bhedbhav	भेदभाव
sub	सब
manate	मानते
jamane	जमाने
jesus	जीसस
milate	मिलते
dosre	दोसरे
chalayega	चलायेगा
gappe	गप्पे
humaara	हुमारा
niwaala	निवाला
chahye	चाहये
sharaab	शराब
hospital	हॉस्पिटल
yehaan	येहान
direct	डायरेक्ट
netaon	नेताओं
faila	फैला
share	शेयर
swagat	स्वागत
rastra	रास्त्र
itnaa	इतना
zyaadaa	ज्यादा
rahaa	रहा
kaa	का
rollout	रोलआउट
pehley	पहले
karney	करने
bhaag	भाग
baarish	बारिश
bhagwan	भगवान
humein	हुमेन
zama	ज़मा
vayapriyo	वायप्रियो
udyogo	उद्योगो
abishek	अभिषेक
wohi	वोही
kejriwal	केजरीवाल
smjhiye	समझिये
intezqr	इन्तेज़क्र
samajhni	समझनी
motivate	मोटिवेट
karsaktay	करसकते
jaano	जानो
maano	मानो
jhaant	झांत
bhr	भर
sanyog	संयोग
geeta	गीता
adhyaay	अध्याय
aadarniya	आदरणीय
pradhanamntri	प्रधानमंत्री
yani	यानी
yug	युग
aadharshila	आधारशिला
chasme	चस्मे
shamelessly	शमेलेस
gyaan	ज्ञान
federalism	फेडरलिज
humen	हुमेन
adhik	अधिक
taqat	ताकत
kota	कोटा
krege	क्रेगे
samazhdari	समझदारी
likhta	लिखता
muskile	मुस्किले
bhage	भागे
director	डायरेक्टर
muskil	मुस्किल
behtreen	बेहतरीन
bihariyo	बिहारियो
sadma	सदमा
mudi	मुडी
khoon	खून
daalna	डालना
saath(60)	साथ(60)
zande	ज़ांडे
gaade	गाडे
bhuk	भूक
naan	नान
dard	दर्द
bajege	बजेगे
pranab	प्रणब
mukherjee	मुखर्जी
bajana	बजाना
chaahe	चाहे
pole	पोल
fans	फैन्स
gowrakshak	गौरक्षक
dushman	दुश्मन
bahoot	बहूत
nafarat	नफरत
pyara	प्यारा
janam	जनम
_swagat	_स्वागत
udeshya	उदेश्य
aagye	आग्ये
saar	सार
kissi	किस्सी
kai	कै
rehte	रहते
manti	मानती
pythagoras	पाइथागोरस
sudhaar	सुधार
sanmbhav	संम्भव
badlaav	बदलाव
sadno	सदनो
manjuri	मंजूरी
pehale	पहले
bhashan	भाषण
maangne	मांगने
malini	मालिनी
khamakha	खामखा
neend	नींद
samjhana	समझाना
jeisa	जैसा
sacha	साचा
anjaane	अनजाने
karlo	कार्लो
charcha	चर्चा
rahein	राहें
milaga	मिलगा
khamosh	खामोश
raaiyta	रायता
dalo	डालो
behan	बहन
hisa	हिसा
indies	इंडीज़
baccho	बच्चो
dhoni	धोनी
kharid	खरीद
sabziyaan	सब्जियाँ
saamaan	सामान
bikash	बिकाश
pherna	फेरना
adat	आदत
nsi	नसी
maarenge	मारेंगे
jaaoge	जाओगे
karcha	करचा
kahaan	कहाँ
daam	दाम
raajneeti	राजनीति
piyakadd	पियाकद्द
anpad	अनपद
maalum	मालूम
banata	बनाता
manaya	मनया
shaamil	शामिल
aatankiyon	आतंकियों
faansi	फांसी
karwane	करवाने
bhagane	भागने
dukan	दुकान
hartal	हरताल
kisano	किसनो
anaj	अनाज
vahi	वही
chaape	चापे
bichaye	बिछाये
dauda	दौड़ा
bhavya	भव्य
samaroh	समारोह
technical	टेक्निकल
taiyyar	तैय्यर
darindo	दरिंदों
sahir	साहिर
lodhi	लोधी
phelay	फेले
pakistani	पाकिस्तानी
sachay	सचय
google	गूगले
bagair	बगैर
dekhay	देखे
sazaa	सज़ा
ulemaa	उलेमा
nazdeek	नजदीक
bazu	बाजू
taang	तांग
katna	कतना
haat	हाट
kaatwa	काटवा
mardaangi	मर्दांगी
ktwa	कतवा
beech	बीच
latka	लटका
phaansi	फांसी
satttaaa	सत्ता
bhrast	भ्रस्त
raaj	राज
gangrape	गैंगरेप
loootmaar	लूटमार
maarna	मारना
peechdi	पीछड़ी
jaatio	जातिओ
maarnaa	मारना
bhed	भेद
humaari	हुमारी
ektaa	एकता
letti	लेटी
balo	बालो
saja	सजा
gale	गेल
betiyo	बेटियो
hariyana	हरियाणा
dikhta	दिखता
bikta	बिकता
haryana	हरियाणा
bachiyun	बचियून
odisha	ओडिशा
ander	अंदर
bhejte	भेजते
odia	ओडिया
mallab	मल्लब
nirbhaya	निर्भय
bani	बनी
saboot	सबूत
shambhu	शम्भू
regar	रेगर
bikau	बिकाउ
shambhulal	शम्भूलाल
ragar	रगर
bahen	बहन
afrajul	अफरजुल
men	में
nafrat	नफरत
jahe	जहे
samajwadi	समाजवादी
gayatri	गायत्री
aayesha	आयशा
porki	पोरकी
jhappi	झप्पी
raise	रेस
agree	अग्री
surakshit	सुरक्षित
inch	इंच
chaati	चाटी
achar	अचार
dabane	दबाने
togadia	तोगड़िया
gayab	गायब
hatti	हट्टी
tamasha	तमाशा
marital	मैरिटल
kanjar	कंजर
kutay	कुटे
kerwa	केरवा
dhondtay	धोंडते
kuda	कूदा
safai	सफाई
abhiyaan	अभियान
upaay	उपाय
gandi	गंदी
mansikta	मानसिकता
vichaar	विचार
gandagi	गंदगी
dimaag	दिमाग
mitaee	मिटाई
goliyaan	गोलियाँ
son	सोन
intezar	इंतजार
ussi	उस्सी
bhatkane	भटकने
togadiya	तोगड़िया
miya	मिया
ghussa	घुस्सा
kid	किड
peshaver	पेशवर
pathano	पठानो
andolan	अंडोलन
kaisa	कैसा
sasan	सासन
samane	सामने
ekjudge	एकजुडगे
maut	मौत
puchne	पूछने
bacho	बचो
channa	चन्ना
mereya	मेरेया
gao	गाओ
kardo	करदो
taisi	तैसी
suhag	सुहाग
bolegi	बोलेगी
patrakaar	पत्रकार
betiyan	बेटियां
vichlit	विचलित
bachiyon	बचियों
antaraatma	अंतरात्मा
betiyon	बेटियों
khaas	खास
lab	लैब
rapist	रैपिस्ट
silai	सिलाई
machine	मशीन
bhadawe	भादवे
lagataar	लगातार
ladkiyon	लड़कियों
haivaniyat	हैवनियत
manak	मानक
bhalai	भलाई
uthaye	उठाये
banaiye	बनाइये
darindee	दरिन्दी
aisaa	ऐसा
tharthara	थरथरा
milkar	मिलकर
jbki	जबकी
qanoon	कानून
smjhna	समझना
kynki	किनकी
shikaar	शिकार
khatara	खतरा
betiyoon	बेटियून
badgaye	बडगाये
jhukne	झुकने
sharminda	शर्मिन्दा
chuna	चुना
hamirpur	हमीरपुर
kand	कांड
sihar	सिहार
rapists	रैपिस्ट्स
adheen	अधीन
1saal	1साल
abtak	अबतक
anjaam	अंजाम
humaare	हुमारे
sakht	सख्त
didi	दीदी
jaage	जागे
mundwa	मुंडवा
hatkr	हटकर
niyamit	नियमित
rajye	राजये
meine	मेने
nikami	निकमी
char	चार
mamle	मामले
aaise	ऐसे
bhand	भांड
anchor	अंचोर
karayenge	करायेंगे
enpar	एनपर
shaq	शक
bhaisab	भाईसाब
postar	पोस्टर
dahal	दहाल
vayvastha	वायवस्था
lachar	लाचार
chooki	चूकी
leziye	लेजिये
uspe	उसपे
bhiii	भी
haii	हाई
faashi	फाशी
saazaa	साज़ा
mini	मिनी
chaiyee	चैयी
huu	हू
khaatar	खातर
aatama	आतमा
chupi	छुपी
tolo	टोलो
behtareen	बेहतरीन
batai	बताई
aqal	अकल
mutabiq	मुताबिक
chaurahey	चौराहे
raip	रेप
hila	हिला
caindal	कैंडल
khi	खी
mata	माता
ajeeb	अजीब
karnataka	कर्नाटक
rajyo	राज्यो
bachhe	बछे
khattar	खट्टर
slogan	स्लोगन
padhao	पढ़ाओ
honay	होने
nikamba	निकम्बा
baysarm	बायसरम
dekhtay	देखते
banwaiye	बनवाइये
bachhiyon	बछियों
hain-	हैं-
karthe	करठे
phansiya	फंसिया
dalni	डालनी
leken	लेकेन
jub	जुब
tuk	टुक
taleem	तालीम
hasil	हासिल
tub	तुब
instant	इंस्टेंट
pucha	पूछा
kasur	कसूर
pakarlia	पकरलिया
saaray	सारे
bachon	बचोन
humor	ह्यूमर
majboor	मजबूर
gajar	गजर
manu	मनु
rapisto	रैपिस्टो
modiki	मोदिकी
kahttar	कहत्तर
dasi	दासी
bachan	बचन
kawita	कविता
karoon	करूँ
sambedna	संबेदना
puchhta	पूछता
dedbody	डेडबॉडी
bhag	भाग
bacchao	बच्चाओ
sabhya	सभ्या
languge	लांगुगे
kiyun	कियून
maata	माता
sewa	सेवा
karwao	करवाओ
gaumaa	गौमा
waloun	वालौन
saale	साले
israel	इजराइल
bandhi	बांधी
krenge	क्रेंज
ravish	रविश
nun	नून
ro	रो
gunehgar	गुनहगार
naampata	नामपता
silent	साइलेंट
mode	मोड
dadri	दादरी
malda	मालदा
porniya	पोरनिया
karnatak	कर्नाटक
punjab	पंजाब
suiciede	सुइकिएडे
rajput	राजपूत
tumlog	तुमलोग
paidaish	पैडाइश
tumoog	तुमूग
nhi_kroge	न्ही_क्रोग
ladkiyo	लड़कियों
ladkiyona	लड़कियोना
dalit	दलित
dekhti	देखती
roke	रोके
girane	गिरने
tabbah	तब्बा
khelaf	खेलाफ
warzi	वारजी
aajj	आज
pur	पुर
bachiyo	बचियो
keroge	केरोगे
hindustan	हिंदुस्तान
durbhagya	दुर्भाग्य
dekhie-	देखिए-
najro	नज़रो
gir	गिर
dilo	दिलो
krti	क्रति
akaon	अकाओं
phursat	फुरसत
zimmedari	जिम्मेदारी
tehrana	तेहराना
ghatna	घटना
bijli	बिजली
paani	पानी
hak	हक
behtar	बेहतर
dikhaya	दिखाया
shasankaal	शसनकाल
capital	कैपिटल
sheila	शीला
naak	नाक
lanchhan	लांछन
brutal	बृताल
prakash	प्रकाश
dalenge	डालेंगे
mahamahim	महामहिम
abhi_haal	अभि_हाल
parso	परसो
h_krni	ह_करनी
hu_dil	हु_दिल
jase	जसे
chola	चोला
odhkar_faltubazi_krre	ओढ़कर_फलतूबजी_कर्रे
ho_na	हो_ना
pane	पाने
k_lie	के_लाइ
